Energy Source,MAE,RMSE,Last Value,Predicted Value 2031,Growth (%),CAGR (%)
Solar Generation - TWh,60.62950210862697,73.63141507176192,165.35657,28.049696110471064,-83.0368420737857,-16.256584347463708
Wind Generation - TWh,103.51296765545956,121.1111792633898,383.60327,164.3390680167484,-57.15910659031963,-8.127432831638115
Hydro Generation - TWh,13.47716578147066,14.99085296343193,257.6901,278.9581685537349,8.253351042098595,0.796194271405426
Geo Biomass Other - TWh,3.8537416987386655,4.8944107772173036,75.490265,79.50608622531492,5.319654428706699,0.51964416592305
Other renewables including bioenergy (TWh),3.2042245567433247,4.093885652372859,72.49,76.83172490280188,5.989412198650691,0.5833852846621301
Biofuels Production - TWh - Total,45.62685951974896,49.61793089222515,398.84695,314.9961642364901,-21.02329872737147,-2.332538726084654
