Energy Source,MAE,RMSE,Last Value,Predicted Value,Percentage Change,CAGR,SSR,Model
Solar Generation - TWh,41.07251998423255,46.127036007010226,165.35657,295.4719521570951,78.68776073251584,[5.97647763],14893.924155544126,Linear Regression
Wind Generation - TWh,86.05163607909927,94.98277473014181,383.60327,1467.5359931252897,282.5660800871926,[14.35907822],63152.09246805806,Linear Regression
Hydro Generation - TWh,77.59976131862743,90.15424936058326,257.6901,999.8507935870439,288.00512460006956,[14.52063466],56894.520744391586,Linear Regression
Geo Biomass Other - TWh,13.376399601935342,16.55658968144407,75.490265,164.6987196758855,118.17213077194195,[8.11350004],1918.8446331579016,Linear Regression
Other renewables including bioenergy (TWh),17.0319082250267,20.943639482777723,72.49,194.96426675794646,168.95332702158433,[10.39964887],3070.452243491962,Linear Regression
Biofuels Production - TWh - Total,177.1368515290608,199.32017435559243,398.84695,1277.788069281727,220.3705254062309,[12.34797666],278099.7233360064,Linear Regression
Solar Generation - TWh,8.183735014790999,12.490858257289995,165.35657,259.7396341074747,57.078508647993075,4.619267975514574,1092.1507800259676,ARIMA Non-Stationary
Wind Generation - TWh,42.041566837280186,52.10591396254203,383.60327,383.29831000802193,-0.0794987988444625,-0.007952725343773892,19005.18388910283,ARIMA Non-Stationary
Hydro Generation - TWh,13.684069017498473,15.186531069646074,257.6901,278.7926229405474,8.189108910488773,0.79021099956611,1614.4150815052787,ARIMA Non-Stationary
Geo Biomass Other - TWh,6.95000987056528,8.035340464305884,75.490265,87.01747799441542,15.269800674849165,1.431197828661146,451.96687464118037,ARIMA Non-Stationary
Other renewables including bioenergy (TWh),4.11149917496938,5.7109356920295475,72.49,82.11091221897064,13.272054378494477,1.2540207181301,228.30350534947905,ARIMA Non-Stationary
Biofuels Production - TWh - Total,16.928531584767192,22.376082436552668,398.84695,451.3010706246392,13.15144082827741,1.2432338892048866,3504.823456451805,ARIMA Non-Stationary
Other renewables including bioenergy (TWh),2.4691552333494826,2.92534411699202,83.07,81.96321448889944,-1.3323528483213607,-0.13404091514180871,59.903467419738746,ARIMA Stationary
Biofuels Production - TWh - Total,42.205670569422125,46.00315239405616,364.5882,362.74418971201567,-0.5057789275638389,-0.050693378405275435,14814.030211335285,ARIMA Stationary
Solar Generation - TWh,20.36627652247709,27.614764142653694,29.216162,42.168871902893315,44.33405696098384,3.737763779438863,5338.026390580746,ARIMA Stationary
Hydro Generation - TWh,13.33017673677035,14.858827204505028,255.75058,266.7545271231917,4.302608863366669,0.42215044294109383,1545.4932212533708,ARIMA Stationary
Geo Biomass Other - TWh,8.538493076348077,9.202109414978883,84.07023,77.58538977470977,-7.713598767709126,-0.7995205714147913,592.7517237967011,ARIMA Stationary
Wind Generation - TWh,62.29838118828866,78.34552394917418,183.49019,197.9121089424524,7.85977655941845,0.7594879125419451,42966.14786009437,ARIMA Stationary
Solar Generation - TWh,42.03113514485676,47.526211168380094,165.35657,228.44224548339844,38.151296609138925,3.2845820708259588,13552.444488128738,LSTM
Wind Generation - TWh,12.893097486979178,17.125642981438066,383.60327,348.06707763671875,-9.263787653134777,-0.96742657198301,1759.725885166073,LSTM
Hydro Generation - TWh,9.910002784830738,14.257991079338574,257.6901,281.96002197265625,9.418259363730419,0.9041388107944082,1219.7418577109902,LSTM
Geo Biomass Other - TWh,4.7083715144856795,5.23266507891823,75.490265,79.1683578491211,4.872274390772241,0.47686328462823724,164.28470296878194,LSTM
Other renewables including bioenergy (TWh),6.3322770581868495,6.757752113430287,72.49,78.27073669433594,7.974529858374869,0.7702027054667493,274.00328175942906,LSTM
Biofuels Production - TWh - Total,14.527251323242202,20.081975410634765,398.84695,405.26519775390625,1.6092006605306266,0.15976651831384192,2419.7144183600362,LSTM
